name;x;y;z;Hemi;Lobe
A1;0,08;-0,03;0,99;L;C
A2;0,17;-0,05;0,98;L;C
A3;0,20;-0,01;0,98;L;C
A4;0,20;-0,02;0,98;L;C
A5;0,40;-0,02;0,91;L;C
A6;0,40;0,21;0,89;R;C
A7;0,20;0,23;0,95;R;C
A8;0,19;0,23;0,95;R;C
A9;0,20;0,22;0,95;R;C
A10;0,09;0,21;0,97;R;C
A11;-0,12;0,18;0,97;R;C
A12;-0,14;-0,01;0,99;L;C
A13;-0,12;-0,21;0,97;L;C
A14;0,07;-0,23;0,97;L;C
A15;0,18;-0,27;0,94;L;C
A16;0,20;-0,24;0,95;L;C
A17;0,20;-0,27;0,94;L;C
A18;0,37;-0,26;0,89;L;C
A19;0,60;-0,02;0,80;L;C
A20;0,58;0,25;0,77;R;C
A21;0,42;0,40;0,81;R;C
A22;0,19;0,45;0,87;R;C
A23;0,17;0,44;0,88;R;C
A24;0,19;0,45;0,87;R;C
A25;0,10;0,43;0,89;R;C
A26;-0,15;0,39;0,90;R;C
A27;-0,32;0,23;0,92;R;C
A28;-0,35;0,01;0,93;R;C
A29;-0,32;-0,23;0,91;L;C
A30;-0,19;-0,41;0,89;L;C
A31;0,08;-0,45;0,88;L;C
A32;0,15;-0,49;0,85;L;C
A33;0,18;-0,49;0,85;L;C
A34;0,18;-0,49;0,85;L;C
A35;0,40;-0,45;0,79;L;C
A36;0,57;-0,30;0,76;L;C
A37;0,76;-0,04;0,65;L;C
A38;0,73;0,19;0,65;R;C
A39;0,59;0,43;0,68;R;C
A40;0,40;0,60;0,68;R;T
A41;0,18;0,65;0,73;R;T
A42;0,15;0,65;0,74;R;T
A43;0,16;0,65;0,74;R;T
A44;0,13;0,62;0,77;R;T
A45;-0,06;0,60;0,79;R;T
A46;-0,27;0,53;0,80;R;C
A47;-0,42;0,38;0,82;R;C
A48;-0,51;0,21;0,83;R;C
A49;-0,54;0,04;0,83;R;C
A50;-0,50;-0,20;0,84;L;C
A51;-0,43;-0,40;0,80;L;C
A52;-0,29;-0,54;0,78;L;C
A53;-0,10;-0,62;0,77;L;T
A54;0,11;-0,64;0,76;L;T
A55;0,15;-0,67;0,72;L;T
A56;0,17;-0,65;0,74;L;T
A57;0,18;-0,67;0,71;L;T
A58;0,36;-0,64;0,68;L;T
A59;0,55;-0,52;0,65;L;C
A60;0,72;-0,29;0,62;L;C
A61;0,88;-0,07;0,45;L;C
A62;0,85;0,18;0,48;R;C
A63;0,75;0,43;0,48;R;C
A64;0,59;0,62;0,51;R;T
A65;0,38;0,76;0,52;R;T
A66;0,16;0,81;0,56;R;T
A67;0,15;0,81;0,57;R;T
A68;0,14;0,81;0,56;R;T
A69;0,09;0,78;0,62;R;T
A70;-0,12;0,75;0,64;R;T
A71;-0,34;0,65;0,67;R;T
A72;-0,48;0,55;0,68;R;C
A73;-0,60;0,40;0,68;R;C
A74;-0,69;0,22;0,68;R;C
A75;-0,73;0,01;0,68;R;C
A76;-0,69;-0,23;0,68;L;C
A77;-0,63;-0,40;0,66;L;C
A78;-0,50;-0,57;0,64;L;T
A79;-0,34;-0,69;0,63;L;T
A80;-0,16;-0,77;0,61;L;T
A81;0,06;-0,80;0,60;L;T
A82;0,15;-0,83;0,53;L;T
A83;0,12;-0,83;0,53;L;T
A84;0,13;-0,82;0,55;L;T
A85;0,33;-0,80;0,50;L;T
A86;0,55;-0,68;0,48;L;T
A87;0,70;-0,53;0,47;L;C
A88;0,85;-0,27;0,45;L;C
A89;0,96;-0,05;0,24;L;C
A90;0,95;0,20;0,24;R;C
A91;0,87;0,42;0,25;R;C
A92;0,72;0,62;0,29;R;T
A93;0,57;0,76;0,30;R;T
A94;0,35;0,87;0,33;R;T
A95;0,14;0,92;0,36;R;T
A96;0,13;0,92;0,37;R;T
A97;0,13;0,91;0,38;R;T
